DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
13,ANT,121,7.0,0 days 00:02:03.412000,0 days 00:02:03.412000,0 days 00:00:41.182000,0 days 00:00:30.645000,0 days 00:00:51.585000,13.0,4.0,INTERMEDIATE,7.0,,,41
13,ANT,122,8.0,0 days 00:01:38.729000,0 days 00:01:38.729000,0 days 00:00:35.912000,0 days 00:00:20.482000,0 days 00:00:42.335000,13.0,4.0,INTERMEDIATE,8.0,,,1
13,ANT,123,9.0,0 days 00:01:36.312000,0 days 00:01:36.312000,0 days 00:00:34.903000,0 days 00:00:19.945000,0 days 00:00:41.464000,13.0,4.0,INTERMEDIATE,9.0,,,1
13,ANT,124,10.0,0 days 00:01:35.270000,0 days 00:01:35.270000,0 days 00:00:34.187000,0 days 00:00:19.577000,0 days 00:00:41.506000,13.0,4.0,INTERMEDIATE,10.0,,,1
13,ANT,125,11.0,0 days 00:01:34.678000,0 days 00:01:34.678000,0 days 00:00:33.964000,0 days 00:00:19.627000,0 days 00:00:41.087000,13.0,4.0,INTERMEDIATE,11.0,,,1
13,ANT,126,12.0,0 days 00:01:35.385000,0 days 00:01:35.385000,0 days 00:00:34.180000,0 days 00:00:19.476000,0 days 00:00:41.729000,13.0,4.0,INTERMEDIATE,12.0,,,1
13,ANT,127,13.0,0 days 00:01:33.697000,0 days 00:01:33.697000,0 days 00:00:33.611000,0 days 00:00:19.396000,0 days 00:00:40.690000,13.0,4.0,INTERMEDIATE,13.0,,,1
13,ANT,128,14.0,0 days 00:01:33.802000,0 days 00:01:33.802000,0 days 00:00:33.699000,0 days 00:00:19.470000,0 days 00:00:40.633000,12.0,4.0,INTERMEDIATE,14.0,,,1
13,ANT,129,15.0,0 days 00:01:32.212000,0 days 00:01:32.212000,0 days 00:00:33.126000,0 days 00:00:19.420000,0 days 00:00:39.666000,12.0,4.0,INTERMEDIATE,15.0,,,1
13,ANT,130,16.0,0 days 00:01:37.326000,0 days 00:01:37.326000,0 days 00:00:37.533000,0 days 00:00:19.464000,0 days 00:00:40.329000,13.0,4.0,INTERMEDIATE,16.0,,,1
13,ANT,131,17.0,0 days 00:01:32.312000,0 days 00:01:32.312000,0 days 00:00:33.045000,0 days 00:00:19.059000,0 days 00:00:40.208000,12.0,4.0,INTERMEDIATE,17.0,,,1
13,ANT,132,18.0,0 days 00:01:32.181000,0 days 00:01:32.181000,0 days 00:00:32.902000,0 days 00:00:19.203000,0 days 00:00:40.076000,12.0,4.0,INTERMEDIATE,18.0,,,1
